TRAINING STARTED...
Trial 1/25
USING POSITIONAL ENCODING:  pump
USING POSITIONAL ENCODING:  pump
GNN(
  (layers): ModuleList(
    (0): GatedGCNLayer(in_channels=40, out_channels=64)
    (1-3): 3 x GatedGCNLayer(in_channels=64, out_channels=64)
    (4): GatedGCNLayer(in_channels=64, out_channels=2)
  )
  (dropout): Dropout(p=0, inplace=False)
  (act_fn): ReLU()
  (MLP): Linear(in_features=56, out_features=5, bias=True)
  (MLP_Eigen): Linear(in_features=5, out_features=5, bias=True)
)
Number of parameters:  77517
Epoch 1, Train acc: 0.21, Validation acc: 0.28 (new best validation), Test acc: 0.1875
Epoch 2, Train acc: 0.21, Validation acc: 0.28, Test acc: 0.1875
Epoch 3, Train acc: 0.32, Validation acc: 0.33 (new best validation), Test acc: 0.3333333333333333
Epoch 4, Train acc: 0.52, Validation acc: 0.43 (new best validation), Test acc: 0.5208333333333334
Epoch 5, Train acc: 0.64, Validation acc: 0.61 (new best validation), Test acc: 0.6458333333333334
Epoch 6, Train acc: 0.53, Validation acc: 0.59, Test acc: 0.5208333333333334
Epoch 7, Train acc: 0.47, Validation acc: 0.54, Test acc: 0.3958333333333333
Epoch 8, Train acc: 0.45, Validation acc: 0.5, Test acc: 0.4166666666666667
Epoch 9, Train acc: 0.33, Validation acc: 0.48, Test acc: 0.2708333333333333
Epoch 10, Train acc: 0.32, Validation acc: 0.39, Test acc: 0.2708333333333333
Epoch 11, Train acc: 0.3, Validation acc: 0.37, Test acc: 0.2708333333333333
Epoch 12, Train acc: 0.31, Validation acc: 0.39, Test acc: 0.25
Epoch 13, Train acc: 0.34, Validation acc: 0.37, Test acc: 0.2916666666666667
Epoch 14, Train acc: 0.39, Validation acc: 0.43, Test acc: 0.375
Epoch 15, Train acc: 0.41, Validation acc: 0.5, Test acc: 0.4166666666666667
Epoch 16, Train acc: 0.47, Validation acc: 0.5, Test acc: 0.4166666666666667
Epoch 17, Train acc: 0.51, Validation acc: 0.59, Test acc: 0.4375
Epoch 18, Train acc: 0.54, Validation acc: 0.61, Test acc: 0.4583333333333333
Epoch 19, Train acc: 0.54, Validation acc: 0.61, Test acc: 0.4583333333333333
Epoch 20, Train acc: 0.52, Validation acc: 0.54, Test acc: 0.4583333333333333
Epoch 21, Train acc: 0.48, Validation acc: 0.48, Test acc: 0.4375
Epoch 22, Train acc: 0.53, Validation acc: 0.54, Test acc: 0.4375
Epoch 23, Train acc: 0.6, Validation acc: 0.59, Test acc: 0.5208333333333334
Epoch 24, Train acc: 0.75, Validation acc: 0.67 (new best validation), Test acc: 0.7083333333333334
Epoch 25, Train acc: 0.78, Validation acc: 0.7 (new best validation), Test acc: 0.8125
Epoch 26, Train acc: 0.79, Validation acc: 0.72 (new best validation), Test acc: 0.8125
Epoch 27, Train acc: 0.79, Validation acc: 0.72, Test acc: 0.8125
Epoch 28, Train acc: 0.79, Validation acc: 0.72, Test acc: 0.8125
Epoch 29, Train acc: 0.79, Validation acc: 0.72, Test acc: 0.8125
Epoch 30, Train acc: 0.79, Validation acc: 0.72, Test acc: 0.8125
Epoch 31, Train acc: 0.79, Validation acc: 0.72, Test acc: 0.8125
Epoch 32, Train acc: 0.79, Validation acc: 0.72, Test acc: 0.8125
Epoch 33, Train acc: 0.79, Validation acc: 0.72, Test acc: 0.8125
Epoch 34, Train acc: 0.79, Validation acc: 0.72, Test acc: 0.8125
Epoch 35, Train acc: 0.79, Validation acc: 0.72, Test acc: 0.8125
Epoch 36, Train acc: 0.79, Validation acc: 0.72, Test acc: 0.8125
Epoch 37, Train acc: 0.79, Validation acc: 0.72, Test acc: 0.8125
