TRAINING STARTED...
Trial 1/25
USING POSITIONAL ENCODING:  LaPE
USING POSITIONAL ENCODING:  LaPE
GNN(
  (layers): ModuleList(
    (0): GCNConv(6, 64)
    (1-3): 3 x GCNConv(64, 64)
    (4): GCNConv(64, 3)
  )
  (dropout): Dropout(p=0, inplace=False)
  (act_fn): ReLU()
  (MLP): Linear(in_features=492, out_features=5, bias=True)
  (MLP_Eigen): Linear(in_features=5, out_features=5, bias=True)
)
Number of parameters:  15618
Epoch 1, Train acc: 0.53, Validation acc: 0.48 (new best validation), Test acc: 0.512
Epoch 2, Train acc: 0.53, Validation acc: 0.48, Test acc: 0.512
Epoch 3, Train acc: 0.53, Validation acc: 0.48, Test acc: 0.512
Epoch 4, Train acc: 0.53, Validation acc: 0.48, Test acc: 0.512
Epoch 5, Train acc: 0.53, Validation acc: 0.48, Test acc: 0.512
Epoch 6, Train acc: 0.53, Validation acc: 0.48, Test acc: 0.512
Epoch 7, Train acc: 0.53, Validation acc: 0.48, Test acc: 0.512
Epoch 8, Train acc: 0.53, Validation acc: 0.48, Test acc: 0.512
Epoch 9, Train acc: 0.53, Validation acc: 0.48, Test acc: 0.512
Epoch 10, Train acc: 0.53, Validation acc: 0.48, Test acc: 0.512
Epoch 11, Train acc: 0.53, Validation acc: 0.48, Test acc: 0.512
Epoch 12, Train acc: 0.53, Validation acc: 0.48, Test acc: 0.512
Epoch 13, Train acc: 0.53, Validation acc: 0.48, Test acc: 0.512
Epoch 14, Train acc: 0.53, Validation acc: 0.48, Test acc: 0.512
Epoch 15, Train acc: 0.53, Validation acc: 0.48, Test acc: 0.512
Epoch 16, Train acc: 0.53, Validation acc: 0.48, Test acc: 0.512
Epoch 17, Train acc: 0.53, Validation acc: 0.48, Test acc: 0.512
Epoch 18, Train acc: 0.53, Validation acc: 0.48, Test acc: 0.512
Epoch 19, Train acc: 0.53, Validation acc: 0.48, Test acc: 0.512
Epoch 20, Train acc: 0.53, Validation acc: 0.48, Test acc: 0.512
Epoch 21, Train acc: 0.53, Validation acc: 0.48, Test acc: 0.512
Epoch 22, Train acc: 0.53, Validation acc: 0.48, Test acc: 0.512
Epoch 23, Train acc: 0.61, Validation acc: 0.58 (new best validation), Test acc: 0.57
Epoch 24, Train acc: 0.62, Validation acc: 0.6 (new best validation), Test acc: 0.558
Epoch 25, Train acc: 0.62, Validation acc: 0.59, Test acc: 0.568
Epoch 26, Train acc: 0.63, Validation acc: 0.6, Test acc: 0.57
Epoch 27, Train acc: 0.63, Validation acc: 0.6, Test acc: 0.602
Epoch 28, Train acc: 0.63, Validation acc: 0.62 (new best validation), Test acc: 0.612
Epoch 29, Train acc: 0.63, Validation acc: 0.6, Test acc: 0.588
Epoch 30, Train acc: 0.63, Validation acc: 0.61, Test acc: 0.58
Epoch 31, Train acc: 0.64, Validation acc: 0.61, Test acc: 0.618
Epoch 32, Train acc: 0.63, Validation acc: 0.62, Test acc: 0.588
Epoch 33, Train acc: 0.64, Validation acc: 0.61, Test acc: 0.616
Epoch 34, Train acc: 0.64, Validation acc: 0.63 (new best validation), Test acc: 0.61
Epoch 35, Train acc: 0.65, Validation acc: 0.62, Test acc: 0.624
Epoch 36, Train acc: 0.64, Validation acc: 0.61, Test acc: 0.624
Epoch 37, Train acc: 0.64, Validation acc: 0.62, Test acc: 0.608
Epoch 38, Train acc: 0.64, Validation acc: 0.63, Test acc: 0.63
Epoch 39, Train acc: 0.65, Validation acc: 0.64 (new best validation), Test acc: 0.62
Epoch 40, Train acc: 0.64, Validation acc: 0.61, Test acc: 0.618
Epoch 41, Train acc: 0.65, Validation acc: 0.62, Test acc: 0.622
Epoch 42, Train acc: 0.64, Validation acc: 0.63, Test acc: 0.628
Epoch 43, Train acc: 0.64, Validation acc: 0.64, Test acc: 0.628
Epoch 44, Train acc: 0.65, Validation acc: 0.62, Test acc: 0.622
Epoch 45, Train acc: 0.64, Validation acc: 0.61, Test acc: 0.606
Epoch 46, Train acc: 0.64, Validation acc: 0.61, Test acc: 0.624
Epoch 47, Train acc: 0.64, Validation acc: 0.61, Test acc: 0.616
Epoch 48, Train acc: 0.65, Validation acc: 0.63, Test acc: 0.62
Epoch 49, Train acc: 0.64, Validation acc: 0.61, Test acc: 0.61
Epoch 50, Train acc: 0.65, Validation acc: 0.6, Test acc: 0.602
Epoch 51, Train acc: 0.64, Validation acc: 0.63, Test acc: 0.618
Epoch 52, Train acc: 0.65, Validation acc: 0.62, Test acc: 0.62
Epoch 53, Train acc: 0.65, Validation acc: 0.61, Test acc: 0.614
Epoch 54, Train acc: 0.65, Validation acc: 0.62, Test acc: 0.612
Epoch 55, Train acc: 0.65, Validation acc: 0.63, Test acc: 0.62
Epoch 56, Train acc: 0.65, Validation acc: 0.62, Test acc: 0.622
Epoch 57, Train acc: 0.65, Validation acc: 0.62, Test acc: 0.622
Epoch 58, Train acc: 0.65, Validation acc: 0.62, Test acc: 0.612
Epoch 59, Train acc: 0.65, Validation acc: 0.61, Test acc: 0.6
Epoch 60, Train acc: 0.64, Validation acc: 0.62, Test acc: 0.614
Epoch 61, Train acc: 0.64, Validation acc: 0.62, Test acc: 0.618
Epoch 62, Train acc: 0.64, Validation acc: 0.62, Test acc: 0.62
Epoch 63, Train acc: 0.64, Validation acc: 0.62, Test acc: 0.62
Epoch 64, Train acc: 0.64, Validation acc: 0.62, Test acc: 0.62
Epoch 65, Train acc: 0.64, Validation acc: 0.62, Test acc: 0.62
