TRAINING STARTED...
Trial 1/25
USING POSITIONAL ENCODING:  eigen
USING POSITIONAL ENCODING:  eigen
GNN(
  (layers): ModuleList(
    (0): GINConv(nn=Sequential(
      (0): Linear(in_features=6, out_features=64, bias=True)
      (1): BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (2): ReLU()
      (3): Linear(in_features=64, out_features=64, bias=True)
    ))
    (1-3): 3 x GINConv(nn=Sequential(
      (0): Linear(in_features=64, out_features=64, bias=True)
      (1): BatchNorm1d(64, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (2): ReLU()
      (3): Linear(in_features=64, out_features=64, bias=True)
    ))
    (4): GINConv(nn=Sequential(
      (0): Linear(in_features=64, out_features=2, bias=True)
      (1): BatchNorm1d(2, eps=1e-05, momentum=0.1, affine=True, track_running_stats=True)
      (2): ReLU()
      (3): Linear(in_features=2, out_features=2, bias=True)
    ))
  )
  (dropout): Dropout(p=0, inplace=False)
  (act_fn): ReLU()
  (MLP): Linear(in_features=136, out_features=5, bias=True)
  (MLP_Eigen): Linear(in_features=5, out_features=5, bias=True)
)
Number of parameters:  30935
Epoch 1, Train acc: 0.5, Validation acc: 0.46 (new best validation), Test acc: 0.51
Epoch 2, Train acc: 0.5, Validation acc: 0.46, Test acc: 0.51
Epoch 3, Train acc: 0.5, Validation acc: 0.46, Test acc: 0.51
Epoch 4, Train acc: 0.5, Validation acc: 0.46, Test acc: 0.51
Epoch 5, Train acc: 0.5, Validation acc: 0.46, Test acc: 0.51
Epoch 6, Train acc: 0.5, Validation acc: 0.46, Test acc: 0.51
Epoch 7, Train acc: 0.5, Validation acc: 0.46, Test acc: 0.51
Epoch 8, Train acc: 0.5, Validation acc: 0.46, Test acc: 0.51
Epoch 9, Train acc: 0.5, Validation acc: 0.46, Test acc: 0.51
Epoch 10, Train acc: 0.55, Validation acc: 0.5 (new best validation), Test acc: 0.54
Epoch 11, Train acc: 0.5, Validation acc: 0.46, Test acc: 0.51
Epoch 12, Train acc: 0.55, Validation acc: 0.51 (new best validation), Test acc: 0.59
Epoch 13, Train acc: 0.53, Validation acc: 0.48, Test acc: 0.55
Epoch 14, Train acc: 0.54, Validation acc: 0.5, Test acc: 0.57
Epoch 15, Train acc: 0.55, Validation acc: 0.51, Test acc: 0.57
Epoch 16, Train acc: 0.62, Validation acc: 0.57 (new best validation), Test acc: 0.63
Epoch 17, Train acc: 0.66, Validation acc: 0.66 (new best validation), Test acc: 0.7
Epoch 18, Train acc: 0.66, Validation acc: 0.62, Test acc: 0.7
